"firm_name","n_patents","ipc_main_code","ipc_main_desc","ipc_second_code","ipc_second_desc","addr_city_main","addr_dept_main.x","n_offres","sector_main","avg_req_exp","top_skill_req","avg_wage","addr_dept_main.y"
"franco garcia, abel",2,"H01Q","AERIALS (microwave radiators for near-field therapeutic treatment A61N0005040000; apparatus for testing aerials or for measuring aerial characteristics G01R; waveguides H01P; radiators or aerials for microwave heating H05B0006720000)","H04B","TRANSMISSION (transmission systems for measured values","Halluin",59,NA,NA,NA,NA,NA,NA
"francois inglese",1,"F16L","PIPES; JOINTS OR FITTINGS FOR PIPES; SUPPORTS FOR PIPES",NA,NA,"Le Puy",43,NA,NA,NA,NA,NA,NA
"franklab",1,"A61L","METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL; DISINFECTION",NA,NA,"Montigny le Bretonneux",78,NA,NA,NA,NA,NA,NA
"frec|n|sys",9,"H03H","IMPEDANCE NETWORKS","H01Q","AERIALS (microwave radiators for near-field therapeutic treatment A61N0005040000; apparatus for testing aerials or for measuring aerial characteristics G01R; waveguides H01P; radiators or aerials for microwave heating H05B0006720000)","Besancon",25,NA,NA,NA,NA,NA,NA
"fred&fred",1,"F21V","FUNCTIONAL FEATURES OR DETAILS OF LIGHTING DEVICES OR SYSTEMS THEREOF; STRUCTURAL COMBINATIONS OF LIGHTING DEVICES WITH OTHER ARTICLES",NA,NA,"Lille",59,NA,NA,NA,NA,NA,NA
"freebox",12,"H04B","TRANSMISSION (transmission systems for measured values","H04L","control or similar signals G08C; speech analysis or synthesis G10L; coding","Paris",75,NA,NA,NA,NA,NA,NA
"fregonese, alexandra",3,"A61P","SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS","A61Q","SPECIFIC USE OF COSMETICS OR SIMILAR TOILET PREPARATIONS","Moncaut",47,NA,NA,NA,NA,NA,NA
"fresenius vial",71,"A61M","DEVICES FOR INTRODUCING MEDIA INTO","A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N0033480000)","Brezins",38,NA,NA,NA,NA,NA,NA
"frette, jacques",1,"A61M","DEVICES FOR INTRODUCING MEDIA INTO",NA,NA,"Nice",62,NA,NA,NA,NA,NA,NA
"freudenberg politex sa",2,"D04H","MAKING TEXTILE FABRICS","D06N","e.g. FROM FIBRES OR FILAMENTARY MATERIAL (weaving D03; knitting D04B; braiding D04C; net-making D04G; sewing D05B; tufting D05C; finishing non-woven fabrics D06); FABRICS MADE BY SUCH PROCESSES OR APPARATUS","Colmar",68,NA,NA,NA,NA,NA,NA
"frey, michel",1,"A61Q","SPECIFIC USE OF COSMETICS OR SIMILAR TOILET PREPARATIONS",NA,NA,"Paris",75,NA,NA,NA,NA,NA,NA
"freydman, philippe",1,"A47J","KITCHEN EQUIPMENT; COFFEE MILLS; SPICE MILLS; APPARATUS FOR MAKING BEVERAGES",NA,NA,"Paris",75,NA,NA,NA,NA,NA,NA
"freyermuth, patrick",1,"E05B","LOCKS; ACCESSORIES THEREFOR; HANDCUFFS",NA,NA,"Cocheren",57,NA,NA,NA,NA,NA,NA
"friederich alain louis andre",2,"F21V","FUNCTIONAL FEATURES OR DETAILS OF LIGHTING DEVICES OR SYSTEMS THEREOF; STRUCTURAL COMBINATIONS OF LIGHTING DEVICES WITH OTHER ARTICLES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"frima-t",4,"A47J","KITCHEN EQUIPMENT; COFFEE MILLS; SPICE MILLS; APPARATUS FOR MAKING BEVERAGES",NA,NA,"Wittenheim",68,NA,NA,NA,NA,NA,NA
"friodis",2,"A45C","PURSES; LUGGAGE; HAND CARRIED BAGS (sacks or packs carried on the body A45F; containers in general B65D","B65D","e.g. portable flexible containers","Mitry Mory",77,NA,NA,NA,NA,NA,NA
"frissa, carmen",1,"B65D","CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS",NA,NA,"Soulac sur Mer",33,NA,NA,NA,NA,NA,NA
"frohly, jacques",1,"C04B","LIME; MAGNESIA; SLAG; CEMENTS; COMPOSITIONS THEREOF",NA,NA,"Lille",59,NA,NA,NA,NA,NA,NA
"froidure, nathalie",1,"A43B","CHARACTERISTIC FEATURES OF FOOTWEAR; PARTS OF FOOTWEAR",NA,NA,"eze",63,NA,NA,NA,NA,NA,NA
"fromageries bel",9,"B65D","CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS",NA,NA,"Suresnes",92,NA,NA,NA,NA,NA,NA
"fromfroid",1,"B65D","CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS",NA,NA,"Isques",62,NA,NA,NA,NA,NA,NA
"fruchart, daniel",1,"C01B","NON-METALLIC ELEMENTS; COMPOUNDS THEREOF (fermentation or enzyme-using processes for the preparation of elements or inorganic compounds except carbon dioxide C12P0003000000;  production of non-metallic elements or inorganic compounds by electrolysis or electrophoresis C25B)",NA,NA,"Grenoble",38,NA,NA,NA,NA,NA,NA
"frustieri, eric",1,"A47G","HOUSEHOLD OR TABLE EQUIPMENT (book-ends A47B0065000000; knives B26B)",NA,NA,"Castres",81,NA,NA,NA,NA,NA,NA
"frydman, alain",18,"B65D","CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS","A47J","KITCHEN EQUIPMENT; COFFEE MILLS; SPICE MILLS; APPARATUS FOR MAKING BEVERAGES","Paris",75,NA,NA,NA,NA,NA,NA
"frydman, philippe",2,"A47J","KITCHEN EQUIPMENT; COFFEE MILLS; SPICE MILLS; APPARATUS FOR MAKING BEVERAGES",NA,NA,"Paris",75,NA,NA,NA,NA,NA,NA
"fts welding",6,"B23K","SOLDERING OR UNSOLDERING; WELDING; CLADDING OR PLATING BY SOLDERING OR WELDING; CUTTING BY APPLYING HEAT LOCALLY",NA,NA,"Ballan Mire",37,NA,NA,NA,NA,NA,NA
"fuchs, roger",3,"B02C","CRUSHING","B09B","PULVERISING","Offendorf",67,NA,NA,NA,NA,NA,NA
"fuji autotech france",3,"B21D","WORKING OR PROCESSING OF SHEET METAL OR METAL TUBES","B21C","MANUFACTURE OF METAL SHEETS, WIRE, RODS, TUBES, PROFILES OR LIKE SEMI-MANUFACTURED PRODUCTS OTHERWISE THAN BY ROLLING; AUXILIARY OPERATIONS USED IN CONNECTION WITH METAL-WORKING WITHOUT ESSENTIALLY REMOVING MATERIAL","Mandeure",25,NA,NA,NA,NA,NA,NA
"fukui, misako",1,"A44C","JEWELLERY; BRACELETS; OTHER PERSONAL ADORNMENTS; COINS (jewel boxes A45C0011160000)",NA,NA,"Paris",75,NA,NA,NA,NA,NA,NA
"fukui, osamu",1,"A44C","JEWELLERY; BRACELETS; OTHER PERSONAL ADORNMENTS; COINS (jewel boxes A45C0011160000)",NA,NA,"Paris",75,NA,NA,NA,NA,NA,NA
"furcate, guy",1,"A44C","JEWELLERY; BRACELETS; OTHER PERSONAL ADORNMENTS; COINS (jewel boxes A45C0011160000)",NA,NA,"Moissac",82,NA,NA,NA,NA,NA,NA
"fx solutions",5,"A61F","FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO","A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N0033480000)","Bourg en Bresse",10,NA,NA,NA,NA,NA,NA
"g. cartier technologies",7,"H01H","ELECTRIC SWITCHES; RELAYS; SELECTORS; EMERGENCY PROTECTIVE DEVICES (contact cables H01B0007100000; electrolytic self-interrupters H01G0009180000; emergency protective circuit arrangements H02H; switching by electronic means without contact-making H03K0017000000)",NA,NA,"Cluses",74,NA,NA,NA,NA,NA,NA
"g. gillard",2,"B65F","GATHERING OR REMOVAL OF DOMESTIC OR LIKE REFUSE (disinfecting refuse A61L; refuse disintegrators B02C; sorting refuse B03B",NA,NA,"Bois le Roi",77,NA,NA,NA,NA,NA,NA
"g. participations",1,"B21D","WORKING OR PROCESSING OF SHEET METAL OR METAL TUBES",NA,NA,"Ancenis",44,NA,NA,NA,NA,NA,NA
"g.b.e.",2,"E04G","SCAFFOLDING; FORMS; SHUTTERING; BUILDING IMPLEMENTS OR OTHER BUILDING AIDS",NA,NA,"Roanne",42,NA,NA,NA,NA,NA,NA
"g.c. technology",1,"A61N","ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY (measurement of bioelectric currents A61B; surgical instruments",NA,NA,"Aix en Provence",13,NA,NA,NA,NA,NA,NA
"g.d.v. productions",1,"A47J","KITCHEN EQUIPMENT; COFFEE MILLS; SPICE MILLS; APPARATUS FOR MAKING BEVERAGES",NA,NA,"Auxerre",89,NA,NA,NA,NA,NA,NA
"g.i.a.",6,"D03D","WOVEN FABRICS; METHODS OF WEAVING; LOOMS","F21W","INDEXING SCHEME ASSOCIATED WITH SUBCLASSES F21L","Paris",75,NA,NA,NA,NA,NA,NA
"g.m.i - groupe millet industrie",2,"E06B","FIXED OR MOVABLE CLOSURES FOR OPENINGS IN BUILDINGS",NA,NA,"Bretignolles",79,NA,NA,NA,NA,NA,NA
"g.o.p.",1,"F16S","CONSTRUCTIONAL ELEMENTS IN GENERAL; STRUCTURES BUILT-UP FROM SUCH ELEMENTS",NA,NA,"Chamboeuf",42,NA,NA,NA,NA,NA,NA
"g2b creation",1,"E06B","FIXED OR MOVABLE CLOSURES FOR OPENINGS IN BUILDINGS",NA,NA,"Mer",41,NA,NA,NA,NA,NA,NA
"ga. promotion",3,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N","A61H","e.g. G01N0033480000)","Beaune",21,NA,NA,NA,NA,NA,NA
"gabillet, maurice",3,"B60B","VEHICLE WHEELS (making wheels or wheel parts by rolling B21H0001000000","B60J","by forging","Boulogne",92,NA,NA,NA,NA,NA,NA
"gabourg, maurice",1,"E06C","LADDERS (E04F0011000000 takes precedence;step-stools A47C0012000000; adaptation of ladders to use on ships B63B",NA,NA,"Gourbeyre",97,NA,NA,NA,NA,NA,NA
"gabriel-robez s.a.r.l.",1,"D06F","LAUNDERING",NA,NA,"Lelex",14,NA,NA,NA,NA,NA,NA
"gach, robert",1,"H04L","TRANSMISSION OF DIGITAL INFORMATION",NA,NA,"Seysses",31,NA,NA,NA,NA,NA,NA
"gaelys",1,"H01L","SEMICONDUCTOR DEVICES; ELECTRIC SOLID STATE DEVICES NOT OTHERWISE PROVIDED FOR (use of semiconductor devices for measuring G01; resistors in general H01C; magnets",NA,NA,"La Haie Fouassiere",44,NA,NA,NA,NA,NA,NA
"gaeta, michel",1,"H04B","TRANSMISSION (transmission systems for measured values",NA,NA,"La Valette du Var",83,NA,NA,NA,NA,NA,NA
"gaggione",3,"F21V","FUNCTIONAL FEATURES OR DETAILS OF LIGHTING DEVICES OR SYSTEMS THEREOF; STRUCTURAL COMBINATIONS OF LIGHTING DEVICES WITH OTHER ARTICLES",NA,NA,"Montreal la Cluse",14,NA,NA,NA,NA,NA,NA
"gagnoux, jerome",1,"A61F","FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO",NA,NA,"Saint Quentin",21,NA,NA,NA,NA,NA,NA
"gaia eau creation",1,"A01G","HORTICULTURE; CULTIVATION OF VEGETABLES",NA,NA,"Mont",69,NA,NA,NA,NA,NA,NA
"gala, francis",3,"A45C","PURSES; LUGGAGE; HAND CARRIED BAGS (sacks or packs carried on the body A45F; containers in general B65D","B62B","e.g. portable flexible containers","Montrond le Chateau",25,NA,NA,NA,NA,NA,NA
"galactic",1,"A61F","FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO",NA,NA,"Rochefort du Gard",30,NA,NA,NA,NA,NA,NA
"galderma research & development",122,"A61P","SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS","C07D","HETEROCYCLIC COMPOUNDS (macromolecular compounds C08)","Biot",64,NA,NA,NA,NA,NA,NA
"galiana, jean-marc",1,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N",NA,NA,"Collonges au Mont d Or",69,NA,NA,NA,NA,NA,NA
"gallat, jean-philippe",1,"B64D","EQUIPMENT FOR FITTING IN OR TO AIRCRAFT; FLYING SUITS; PARACHUTES; ARRANGEMENTS OR MOUNTING OF POWER PLANTS OR PROPULSION TRANSMISSIONS",NA,NA,"Sainte Foy les Lyon",69,NA,NA,NA,NA,NA,NA
"gallego, christian",1,"B26D","CUTTING; DETAILS COMMON TO MACHINES FOR SEVERING",NA,NA,"Orange",84,NA,NA,NA,NA,NA,NA
"gallois, colin",1,"A61G","TRANSPORT",NA,NA,"Lille",59,NA,NA,NA,NA,NA,NA
"galloo plastics",2,"B03B","SEPARATING SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGS (removing fluids from solids B01D; magnetic or electrostatic separation of solid materials from solid materials or fluids","B07C","separation by high voltage electric fields B03C; flotation","Halluin",59,NA,NA,NA,NA,NA,NA
"galtier, virginie",1,"E06B","FIXED OR MOVABLE CLOSURES FOR OPENINGS IN BUILDINGS",NA,NA,"Nice",60,NA,NA,NA,NA,NA,NA
"galvelpor",1,"A01K","ANIMAL HUSBANDRY; CARE OF BIRDS",NA,NA,"Landerneau",29,NA,NA,NA,NA,NA,NA
"gamamabs pharma",7,"A61P","SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS",NA,NA,"Toulouse",31,NA,NA,NA,NA,NA,NA
"gangloff, laurent",1,"B65D","CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS",NA,NA,"Palaiseau",91,NA,NA,NA,NA,NA,NA
"garaig, daniel",1,"E05B","LOCKS; ACCESSORIES THEREFOR; HANDCUFFS",NA,NA,"Saint",33,NA,NA,NA,NA,NA,NA
"garcia, honore",1,"B08B","CLEANING IN GENERAL; PREVENTION OF FOULING IN GENERAL (brushes A46; devices for domestic or like cleaning A47L; separation of particles from liquids or gases B01D; separation of solids B03",NA,NA,"Urrugne",64,NA,NA,NA,NA,NA,NA
"gardes, florian",2,"B60L","PROPULSION OF ELECTRICALLY-PROPELLED VEHICLES (arrangements or mounting of electrical propulsion units or of plural diverse prime-movers for mutual or common propulsion in vehicles B60K0001000000","H02J","B60K0006200000; arrangements or mounting of electrical gearing in vehicles B60K0017120000","L Isle d Espagnac",16,NA,NA,NA,NA,NA,NA
"gardette, jean-louis",1,"B62B","HAND-PROPELLED VEHICLES",NA,NA,"Villemontais",42,NA,NA,NA,NA,NA,NA
"gardin, arthur",1,"B64C","AEROPLANES; HELICOPTERS (air-cushion vehicles B60V)",NA,NA,"Issoire",63,NA,NA,NA,NA,NA,NA
"garnier, christian",1,"H04L","TRANSMISSION OF DIGITAL INFORMATION",NA,NA,"etrechy",91,NA,NA,NA,NA,NA,NA
"garzuel, florent",1,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N",NA,NA,"Cruseilles",74,NA,NA,NA,NA,NA,NA
"gas, alain",2,"A01K","ANIMAL HUSBANDRY; CARE OF BIRDS","H02K","FISHES","Pessac",33,NA,NA,NA,NA,NA,NA
"gascogne laminates",2,"B65D","CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS","D04H","e.g. BAGS","Dax",40,NA,NA,NA,NA,NA,NA
"gastebois, jeremy",3,"A61F","FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO","A61H","OR PREVENTING COLLAPSING OF","Buxerolles",86,NA,NA,NA,NA,NA,NA
"gastel, daniel andre",3,"B21D","WORKING OR PROCESSING OF SHEET METAL OR METAL TUBES","C04B","RODS OR PROFILES WITHOUT ESSENTIALLY REMOVING MATERIAL; PUNCHING (operations of the kind involved in the manufacture of such products B21B","Plaisir",78,NA,NA,NA,NA,NA,NA
"gastel, yann maurice",2,"B23B","TURNING; BORING (using an electrode which takes the place of a tool B23H","B23C","e.g. making holes B23H0009140000; working by laser beam B23K0026000000; arrangements for copying or controlling B23Q)","Jouars Pontchartrain",78,NA,NA,NA,NA,NA,NA
"gastel-tan, judy",2,"B42F","SHEETS TEMPORARILY ATTACHED TOGETHER; FILING APPLIANCES; FILE CARDS; INDEXING (reading desks A47B0019000000; book rests A47B0023000000)","G09B","EDUCATIONAL OR DEMONSTRATION APPLIANCES; APPLIANCES FOR TEACHING","Plaisir",78,NA,NA,NA,NA,NA,NA
"gastronome",1,"B26D","CUTTING; DETAILS COMMON TO MACHINES FOR SEVERING",NA,NA,"Ancenis",44,NA,NA,NA,NA,NA,NA
"gateff, jean-paul",4,"E21B","EARTH OR ROCK DRILLING (mining",NA,NA,"Hyeres",83,NA,NA,NA,NA,NA,NA
"gattefosse",7,"A61Q","SPECIFIC USE OF COSMETICS OR SIMILAR TOILET PREPARATIONS",NA,NA,"Saint Priest",69,NA,NA,NA,NA,NA,NA
"gattefosse holding",1,"A61Q","SPECIFIC USE OF COSMETICS OR SIMILAR TOILET PREPARATIONS",NA,NA,"Genas",69,NA,NA,NA,NA,NA,NA
"gaudfrin",3,"B01D","SEPARATION (separating solids from solids by wet methods B03B",NA,NA,"Saint Germain en Laye",78,NA,NA,NA,NA,NA,NA
"gaudier kuppel group",4,"A47F","SPECIAL FURNITURE","B05B","FITTINGS","La Courneuve",93,NA,NA,NA,NA,NA,NA
"gauduchou capitaine, nathalie",1,"E06B","FIXED OR MOVABLE CLOSURES FOR OPENINGS IN BUILDINGS",NA,NA,"Bordeaux",33,NA,NA,NA,NA,NA,NA
"gauguin, steven",1,"G09B","EDUCATIONAL OR DEMONSTRATION APPLIANCES; APPLIANCES FOR TEACHING",NA,NA,"Paris",75,NA,NA,NA,NA,NA,NA
"gautherot, basile",1,"A01G","HORTICULTURE; CULTIVATION OF VEGETABLES",NA,NA,"Buxieres sur Arce",10,NA,NA,NA,NA,NA,NA
"gautherot, chloe",1,"A01G","HORTICULTURE; CULTIVATION OF VEGETABLES",NA,NA,"Buxieres sur Arce",10,NA,NA,NA,NA,NA,NA
"gautherot, philippe",2,"A01G","HORTICULTURE; CULTIVATION OF VEGETABLES",NA,NA,"Buxieres sur Arce",10,NA,NA,NA,NA,NA,NA
"gautier investissements prives",1,"G10K","SOUND-PRODUCING DEVICES (sound-producing toys A63H0005000000);  METHODS OR DEVICES FOR PROTECTING AGAINST",NA,NA,"Bordeaux",33,NA,NA,NA,NA,NA,NA
"gautier, johann",2,"F41C","SMALLARMS","F41G","e.g. PISTOLS","Auxerre",56,NA,NA,NA,NA,NA,NA
"gautier, m. alain",1,"A47D","FURNITURE SPECIALLY ADAPTED FOR CHILDREN (school benches or desks A47B0039000000",NA,NA,"Strasbourg",67,NA,NA,NA,NA,NA,NA
"gavoty, eric",2,"B63B","SHIPS OR OTHER WATERBORNE VESSELS; EQUIPMENT FOR SHIPPING (air-cushion vehicles B60V; arrangements of vessel ventilation","B63H","heating","Paris",75,NA,NA,NA,NA,NA,NA
"gaz & eaux",1,"C02F","TREATMENT OF WATER",NA,NA,"Lods",25,NA,NA,NA,NA,NA,NA
"gaz de ferme",1,"B01D","SEPARATION (separating solids from solids by wet methods B03B",NA,NA,"Villefranque",65,NA,NA,NA,NA,NA,NA
"gaz transport et technigaz",7,"F17C","VESSELS FOR CONTAINING OR STORING COMPRESSED",NA,NA,"Saint Remy les Chevreuse",78,NA,NA,NA,NA,NA,NA
"gaz vert international",1,"F23G","CREMATION FURNACES; CONSUMING WASTE OR LOW GRADE FUELS BY COMBUSTION",NA,NA,"Saint Mars du Desert",44,NA,NA,NA,NA,NA,NA
"gaztransport et technigaz",122,"F17C","VESSELS FOR CONTAINING OR STORING COMPRESSED","B63B","SHIPS OR OTHER WATERBORNE VESSELS; EQUIPMENT FOR SHIPPING (air-cushion vehicles B60V; arrangements of vessel ventilation, heating, cooling, or air-conditioning B63J0002000000)","Saint Remy les Chevreuse",78,NA,NA,NA,NA,NA,NA
"gb developpement",15,"B05B","SPRAYING APPARATUS; ATOMISING APPARATUS; NOZZLES (spray-mixers with nozzles B01F0005200000; processes for applying liquids or other fluent materials to surfaces by spraying B05D)","F21V","FUNCTIONAL FEATURES OR DETAILS OF LIGHTING DEVICES OR SYSTEMS THEREOF; STRUCTURAL COMBINATIONS OF LIGHTING DEVICES WITH OTHER ARTICLES, NOT OTHERWISE PROVIDED FOR","Vernon",27,NA,NA,NA,NA,NA,NA
"gc technology",1,"A61N","ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY (measurement of bioelectric currents A61B; surgical instruments",NA,NA,"Aix en Provence",13,NA,NA,NA,NA,NA,NA
"gcmsd",1,"H01L","SEMICONDUCTOR DEVICES; ELECTRIC SOLID STATE DEVICES NOT OTHERWISE PROVIDED FOR (use of semiconductor devices for measuring G01; resistors in general H01C; magnets",NA,NA,"Pesmes",70,NA,NA,NA,NA,NA,NA
"gd energy services s.a.r.l.",1,"F22B","METHODS OF STEAM GENERATION; STEAM BOILERS (steam engine plants where engine aspects predominate F01K; removal of combustion products or residues",NA,NA,"Marseille",13,NA,NA,NA,NA,NA,NA
"gdf suez",14,"E21B","EARTH OR ROCK DRILLING (mining","F23N","REGULATING OR CONTROLLING COMBUSTION (control devices specially adapted for combustion apparatus in which combustion takes place in a fluidised bed of fuel or other particles F23C0010280000; condition responsive controls for regulating combustion in domestic stoves with open fires for solid fuel F24B0001187000)","Courbevoie",92,NA,NA,NA,NA,NA,NA
"gdi simulation",4,"F41G","WEAPON SIGHTS; AIMING (optical aspects thereof G02B)",NA,NA,"Paris",75,NA,NA,NA,NA,NA,NA
"ge energy power conversion france",2,"H02M","APPARATUS FOR CONVERSION BETWEEN AC AND AC",NA,NA,"Massy",91,NA,NA,NA,NA,NA,NA
"ge energy products france snc",11,"F01D","NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES","F16L","e.g. STEAM TURBINES (combustion engines F02; machines or engines for liquids F03","Belfort",90,NA,NA,NA,NA,NA,NA
"ge renewable technologies",33,"H02K","DYNAMO-ELECTRIC MACHINES (measuring instruments G01; dynamo-electric relays H01H0053000000; conversion of dc or ac input power into surge output power H02M0009000000; loudspeakers",NA,NA,"Grenoble",38,NA,NA,NA,NA,NA,NA
"gea farm technologies japy",1,"A01J","MANUFACTURE OF DAIRY PRODUCTS (preservation",NA,NA,"Dijon",21,NA,NA,NA,NA,NA,NA
"gebo packaging solutions france",22,"B65G","TRANSPORT OR STORAGE DEVICES","B65B","MACHINES, APPARATUS OR DEVICES FOR, OR METHODS OF, PACKAGING ARTICLES OR MATERIALS; UNPACKING (bundling and pressing devices for cigars A24C0001440000; paper-bag holders as shop or office accessories A47F0013080000; apparatus for coating, e.g. by dipping, B05C; devices for tensioning and securing binders adapted to be supported by the article or articles to be bound B25B; nailing or stapling devices B25C, B27F; inserting documents in envelopes and closing the latter B43M0003000000, B43M0005000000; labelling B65C; wrappers, containers or other packaging elements, e.g. binders, closures, protective caps, B65D; transport or storage devices B65G; devices for handling sheets or webs of interest apart from their application in packaging machines B65H; applying closure members to bottles, jars or similar containers B67B; hand- or power-operated devices not attached to, or not incorporated in, containers or container closures for opening closed containers B67B0007000000; packaging of matches C06F; wrapping sugar during manufacture C13B0045020000; packaging of ammunition or explosive charges F42B0039000000; making containers or receptacles, see the appropriate subclasses);","Reichstett",67,NA,NA,NA,NA,NA,NA
"gecko biomedical",4,"A61L","METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL; DISINFECTION",NA,NA,"Paris",75,NA,NA,NA,NA,NA,NA
"geco ingenierie",4,"A01D","HARVESTING; MOWING","A01M","CATCHING","Laudun l Ardoise",30,NA,NA,NA,NA,NA,NA
"gei",3,"E01B","PERMANENT WAY; PERMANENT-WAY TOOLS; MACHINES FOR MAKING RAILWAYS OF ALL KINDS (derailing or rerailing blocks on track","B23D","PLANING; SLOTTING; SHEARING; BROACHING; SAWING; FILING; SCRAPING; LIKE OPERATIONS FOR WORKING METAL BY REMOVING MATERIAL, NOT OTHERWISE PROVIDED FOR (making toothed gears or the like B23F; cutting metal by applying heat locally B23K; arrangements for copying or controlling B23Q)","Neuilly sur Seine",92,NA,NA,NA,NA,NA,NA
"geismar alpes",5,"E01B","PERMANENT WAY; PERMANENT-WAY TOOLS; MACHINES FOR MAKING RAILWAYS OF ALL KINDS (derailing or rerailing blocks on track",NA,NA,"Saint Didier de la Tour",38,NA,NA,NA,NA,NA,NA
"gelin, michel",4,"E05F","DEVICES FOR MOVING WINGS INTO OPEN OR CLOSED POSITION; CHECKS FOR WINGS; WING FITTINGS NOT OTHERWISE PROVIDED FOR","E06B","FIXED OR MOVABLE CLOSURES FOR OPENINGS IN BUILDINGS, VEHICLES, FENCES, OR LIKE ENCLOSURES, IN GENERAL, e.g. DOORS, WINDOWS, BLINDS, GATES (shades or blinds for greenhouses A01G0009220000; curtains A47H; lids for car boots or bonnets B62D0025100000; sky-lights E04B0007180000; sunshades, awnings E04F0010000000)","Rouen",76,NA,NA,NA,NA,NA,NA
"gelnesis",2,"A61L","METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL; DISINFECTION","A61P","STERILISATION","Cairon",14,NA,NA,NA,NA,NA,NA
"geloen, jacques",1,"A61F","FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO",NA,NA,"Bondues",59,NA,NA,NA,NA,NA,NA
"gelot, johann",1,"E04G","SCAFFOLDING; FORMS; SHUTTERING; BUILDING IMPLEMENTS OR OTHER BUILDING AIDS",NA,NA,"Livet",38,NA,NA,NA,NA,NA,NA
"gem'innov",1,"C09D","COATING COMPOSITIONS",NA,NA,"Gemenos",13,NA,NA,NA,NA,NA,NA
"gemalto",499,"H04L","TRANSMISSION OF DIGITAL INFORMATION","B42D","BOOKS; BOOK COVERS; LOOSE LEAVES; PRINTED MATTER OF SPECIAL FORMAT OR STYLE NOT OTHERWISE PROVIDED FOR; DEVICES FOR USE THEREWITH; MOVABLE-STRIP WRITING OR READING APPARATUS (book stands A47B; reading desks A47B0019000000; book rests A47B0023000000)","Meudon",92,NA,NA,NA,NA,NA,NA
"genbiotech",3,"A01N","PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF (preservation of food or foodstuff A23); BIOCIDES","A61P","e.g. AS DISINFECTANTS","Antibes",66,NA,NA,NA,NA,NA,NA
"gencod",1,"A61P","SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS",NA,NA,"Villeneuve Loubet",62,NA,NA,NA,NA,NA,NA
"genepred biotechnologies",1,"A61P","SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS",NA,NA,"Marseille",13,NA,NA,NA,NA,NA,NA
"generale biscuit",36,"A21D","TREATMENT","B65D","CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS; ACCESSORIES, CLOSURES, OR FITTINGS THEREFOR; PACKAGING ELEMENTS; PACKAGES","Clamart",92,NA,NA,NA,NA,NA,NA
"generale de robinetterie industrielle et des systemes de surete",1,"F16K","VALVES; TAPS; COCKS; ACTUATING-FLOATS; DEVICES FOR VENTING OR AERATING",NA,NA,"Armentieres",59,NA,NA,NA,NA,NA,NA
