"firm_name","n_patents","ipc_main_code","ipc_main_desc","ipc_second_code","ipc_second_desc","addr_city_main","addr_dept_main"
"mobiky tech",1,"B62K","CYCLES; CYCLE FRAMES; CYCLE STEERING DEVICES; RIDER-OPERATED TERMINAL CONTROLS SPECIALLY ADAPTED FOR CYCLES; CYCLE AXLE SUSPENSIONS; CYCLE SIDECARS",NA,NA,"Saint Lo","50"
"mobile devices ingenierie",4,"B60K","ARRANGEMENT OR MOUNTING OF PROPULSION UNITS OR OF TRANSMISSIONS IN VEHICLES; ARRANGEMENT OR MOUNTING OF PLURAL DIVERSE PRIME-MOVERS; AUXILIARY DRIVES; INSTRUMENTATION OR DASHBOARDS FOR VEHICLES; ARRANGEMENTS IN CONNECTION WITH COOLING","G01C","AIR INTAKE","Villejuif","94"
"mobilead",1,"H04L","TRANSMISSION OF DIGITAL INFORMATION",NA,NA,"Paris","75"
"mobilev cranes",2,"B66C","CRANES; LOAD-ENGAGING ELEMENTS OR DEVICES FOR CRANES",NA,NA,"Lentilly","69"
"mobiliss",1,"A61F","FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO",NA,NA,"Sainte Livrade sur Lot","47"
"mobinov",1,"B62B","HAND-PROPELLED VEHICLES",NA,NA,"La Celle","78"
"mobois",2,"A47H","FURNISHINGS FOR WINDOWS OR DOORS (concerned with the functioning of the door or window E05; roller blinds E06B; special arrangements or measures in connection with doors or windows",NA,NA,"Champs","39"
"mocquard, antoine",3,"C08J","WORKING-UP; GENERAL PROCESSES OF COMPOUNDING; AFTER-TREATMENT NOT COVERED BY SUBCLASSES  C08B","C08K","C08C","Paris","75"
"modec",1,"F16K","VALVES; TAPS; COCKS; ACTUATING-FLOATS; DEVICES FOR VENTING OR AERATING",NA,NA,"Beaumont les Valence","26"
"modelabs group",1,"A45C","PURSES; LUGGAGE; HAND CARRIED BAGS (sacks or packs carried on the body A45F; containers in general B65D",NA,NA,"Paris","75"
"modelabs mobiles",1,"E05B","LOCKS; ACCESSORIES THEREFOR; HANDCUFFS",NA,NA,"Paris","75"
"modjaw",4,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N",NA,NA,"","73"
"module 3d",1,"B27D","WORKING VENEER OR PLYWOOD (applying liquids or other fluent materials to surfaces in general B05; grinding",NA,NA,"Villebon sur Yvette","91"
"moduleus",3,"B06B","GENERATING OR TRANSMITTING MECHANICAL VIBRATIONS IN GENERAL (for particular physical or chemical processes","H03K","PULSE TECHNIQUE (measuring pulse characteristics G01R; mechanical counters having an electrical input G06M; information storage devices in general G11; sample-and-hold arrangements in electric analogue stores G11C0027020000; construction of switches involving contact making and breaking for generation of pulses, e.g. by using a moving magnet, H01H; static conversion of electric power H02M; generation of oscillations by circuits employing active elements which operate in a non-switching manner H03B; modulating sinusoidal oscillations with pulses H03C, H04L; discriminator circuits involving pulse counting H03D; automatic control of generators H03L; starting, synchronisation, or stabilisation of generators where the type of generator is irrelevant or unspecified H03L; coding, decoding or code conversion, in general H03M)","Tours","37"
"modulowatt",2,"B60L","PROPULSION OF ELECTRICALLY-PROPELLED VEHICLES (arrangements or mounting of electrical propulsion units or of plural diverse prime-movers for mutual or common propulsion in vehicles B60K0001000000",NA,NA,"Paris","75"
"mohamed said, mahmoud",1,"B60W","CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION; CONTROL SYSTEMS SPECIALLY ADAPTED FOR HYBRID VEHICLES; ROAD VEHICLE DRIVE CONTROL SYSTEMS FOR PURPOSES NOT RELATED TO THE CONTROL OF A PARTICULAR SUB-UNIT",NA,NA,"Paris","75"
"moigne, pa",4,"B64C","AEROPLANES; HELICOPTERS (air-cushion vehicles B60V)","E05F","DEVICES FOR MOVING WINGS INTO OPEN OR CLOSED POSITION; CHECKS FOR WINGS; WING FITTINGS NOT OTHERWISE PROVIDED FOR","Teillay","35"
"moini, cyrus bruno ha",1,"E06B","FIXED OR MOVABLE CLOSURES FOR OPENINGS IN BUILDINGS",NA,NA,"Bourg en Bresse","10"
"moinon, olivier",1,"A47F","SPECIAL FURNITURE",NA,NA,"La Tour de Salvagny","69"
"mokri, i",1,"B65D","CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS",NA,NA,"Paris","75"
"molotov",1,"H04N","PICTORIAL COMMUNICATION",NA,NA,"Paris","75"
"momentum",6,"F16G","BELTS","G01B","CABLES","Bordeaux","33"
"momindum",1,"H04L","TRANSMISSION OF DIGITAL INFORMATION",NA,NA,"Paris","75"
"monatomics technology",3,"A61M","DEVICES FOR INTRODUCING MEDIA INTO",NA,NA,"Paris","75"
"moncorger, jeoffrey jean raymond",3,"A01C","PLANTING; SOWING; FERTILISING (combined with general working of soil A01B0049040000; parts","B65D","details or accessories of agricultural machines or implements","Le Coudray Montceaux","91"
"mondragon cardenas, arturo",1,"H02J","CIRCUIT ARRANGEMENTS OR SYSTEMS FOR SUPPLYING OR DISTRIBUTING ELECTRIC POWER; SYSTEMS FOR STORING ELECTRIC ENERGY (power supply circuits for apparatus for measuring X-radiation",NA,NA,"Grenoble","38"
"monin, claude",1,"A61Q","SPECIFIC USE OF COSMETICS OR SIMILAR TOILET PREPARATIONS",NA,NA,"Cabris","65"
"monkam nitcheu, guy faustin",3,"A61P","SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS",NA,NA,"Lille","59"
"monkilowatt",1,"A01G","HORTICULTURE; CULTIVATION OF VEGETABLES",NA,NA,"Toulouse","31"
"monomatic",1,"B65H","HANDLING THIN OR FILAMENTARY MATERIAL",NA,NA,"Strasbourg","67"
"montabert",19,"B25D","PERCUSSIVE TOOLS","E21B","EARTH OR ROCK DRILLING (mining, quarrying E21C; making shafts, driving galleries or tunnels E21D); OBTAINING OIL, GAS, WATER, SOLUBLE OR MELTABLE MATERIALS OR A SLURRY OF MINERALS FROM WELLS","Saint Priest","69"
"montigny, christophe",1,"A47J","KITCHEN EQUIPMENT; COFFEE MILLS; SPICE MILLS; APPARATUS FOR MAKING BEVERAGES",NA,NA,"Paris","75"
"montupet",1,"B22C","FOUNDRY MOULDING (moulding refractory materials in general B28B)",NA,NA,"Clichy","92"
"moona",3,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N","A61F","e.g. G01N0033480000)","Paris","75"
"moonbikes motors",2,"B62B","HAND-PROPELLED VEHICLES","B62K","e.g. HAND CARTS OR PERAMBULATORS; SLEDGES (characterised by animal propulsion B62C; propulsion of sledges by driver or engine B62M)","Paris","75"
"mooti",2,"A47G","HOUSEHOLD OR TABLE EQUIPMENT (book-ends A47B0065000000; knives B26B)","B65D","CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS","",NA
"moovspine",2,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N","A61F","e.g. G01N0033480000)","Bordeaux","33"
"mopeasy",2,"E05B","LOCKS; ACCESSORIES THEREFOR; HANDCUFFS","E05G","SAFES OR STRONG-ROOMS FOR VALUABLES; BANK PROTECTION DEVICES; SAFETY TRANSACTION PARTITIONS (alarm arrangements per seG08B)","Neuilly sur Seine","92"
"mora perez de bustos, aquilino",1,"A47K","SANITARY EQUIPMENT NOT OTHERWISE PROVIDED FOR (connecting to water supply or waste pipe",NA,NA,"La Roquette sur Var","66"
"moreau, antoine",1,"H01Q","AERIALS (microwave radiators for near-field therapeutic treatment A61N0005040000; apparatus for testing aerials or for measuring aerial characteristics G01R; waveguides H01P; radiators or aerials for microwave heating H05B0006720000)",NA,NA,"Gerzat","63"
"moreau, francoise",2,"B65D","CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS",NA,NA,"Gujan Mestras","33"
"moreau, ludwig",2,"B63B","SHIPS OR OTHER WATERBORNE VESSELS; EQUIPMENT FOR SHIPPING (air-cushion vehicles B60V; arrangements of vessel ventilation","F16F","heating","Les Pins","61"
"moria lase",1,"A61F","FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO",NA,NA,"Antony","92"
"morillon, cyrille",1,"E06B","FIXED OR MOVABLE CLOSURES FOR OPENINGS IN BUILDINGS",NA,NA,"Chateau Landon","77"
"morin, jean-xavier",1,"F23C","METHODS OR APPARATUS FOR COMBUSTION USING FLUENT FUEL (burners F23D)",NA,NA,"Neuville aux Bois","45"
"mornac, jean-pierre",4,"E01B","PERMANENT WAY; PERMANENT-WAY TOOLS; MACHINES FOR MAKING RAILWAYS OF ALL KINDS (derailing or rerailing blocks on track",NA,NA,"La Garenne Colombes","92"
"morpho",28,"H04L","TRANSMISSION OF DIGITAL INFORMATION","A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N0033480000)","Issy les Moulineaux","92"
"morphosense",1,"H03H","IMPEDANCE NETWORKS",NA,NA,"Le Bourget du Lac","73"
"morter, wye-peygn",1,"A61F","FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO",NA,NA,"Asnieres sur Seine","92"
"mossalgue",2,"A01K","ANIMAL HUSBANDRY; CARE OF BIRDS",NA,NA,"Brie Comte Robert","77"
"mossotti, jean-luc",1,"B02C","CRUSHING",NA,NA,"Septemes les Vallons","13"
"moteurs alexandre",1,"F16H","GEARING",NA,NA,"Saint Georges sur Eure","28"
"moteurs leroy somer",3,"H02K","DYNAMO-ELECTRIC MACHINES (measuring instruments G01; dynamo-electric relays H01H0053000000; conversion of dc or ac input power into surge output power H02M0009000000; loudspeakers",NA,NA,"Angouleme","16"
"moteurs leroy-somer",110,"H02K","DYNAMO-ELECTRIC MACHINES (measuring instruments G01; dynamo-electric relays H01H0053000000; conversion of dc or ac input power into surge output power H02M0009000000; loudspeakers","H02P","CONTROL OR REGULATION OF ELECTRIC MOTORS, GENERATORS, OR DYNAMO-ELECTRIC CONVERTERS; CONTROLLING TRANSFORMERS, REACTORS OR CHOKE COILS (structure of the starter, brake, or other control devices, see the relevant subclasses, e.g. mechanical brake F16D, mechanical speed regulator G05D, variable resistor H01C, starter switch H01H; systems for regulating electric or magnetic variables using transformers, reactors or choke coils G05F; arrangements structurally associated with motors, generators, dynamo-electric converters, transformers, reactors or choke coils, see the relevant subclasses, e.g. H01F, H02K; connection or control of one generator, transformer, reactor, choke coil, or dynamo-electric converter with regard to conjoint operation with similar or other source of supply H02J; control or regulation of static converters H02M)","Angouleme","16"
"motion concept group",1,"B63B","SHIPS OR OTHER WATERBORNE VESSELS; EQUIPMENT FOR SHIPPING (air-cushion vehicles B60V; arrangements of vessel ventilation",NA,NA,"Libourne","33"
"mottet, lionel",1,"E05B","LOCKS; ACCESSORIES THEREFOR; HANDCUFFS",NA,NA,"Lyon","69"
"mougin, georges",4,"E21B","EARTH OR ROCK DRILLING (mining",NA,NA,"Belaye","46"
"mouillot, nathalie",1,"A47J","KITCHEN EQUIPMENT; COFFEE MILLS; SPICE MILLS; APPARATUS FOR MAKING BEVERAGES",NA,NA,"La Feuillee","29"
"moujoud, ai",2,"A61G","TRANSPORT","B62K","PERSONAL CONVEYANCES","Poitiers","86"
"moukarzel, pa",1,"E05B","LOCKS; ACCESSORIES THEREFOR; HANDCUFFS",NA,NA,"Cahors","46"
"moulages et arts plastiques industriels",1,"A47F","SPECIAL FURNITURE",NA,NA,"Le Broc","65"
"moulages plastiques du midi",9,"E05D","HINGES OR OTHER SUSPENSION DEVICES FOR DOORS","E06B","FIXED OR MOVABLE CLOSURES FOR OPENINGS IN BUILDINGS, VEHICLES, FENCES, OR LIKE ENCLOSURES, IN GENERAL, e.g. DOORS, WINDOWS, BLINDS, GATES (shades or blinds for greenhouses A01G0009220000; curtains A47H; lids for car boots or bonnets B62D0025100000; sky-lights E04B0007180000; sunshades, awnings E04F0010000000)","Muret","31"
"moulene, daniel",1,"B60W","CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION; CONTROL SYSTEMS SPECIALLY ADAPTED FOR HYBRID VEHICLES; ROAD VEHICLE DRIVE CONTROL SYSTEMS FOR PURPOSES NOT RELATED TO THE CONTROL OF A PARTICULAR SUB-UNIT",NA,NA,"","78"
"moulins soufflet",4,"C08H","DERIVATIVES OF NATURAL MACROMOLECULAR COMPOUNDS (polysaccharides C08B; natural rubber C08C; natural resins or their derivatives C09F; working up pitch","C08L","asphalt or bitumen C10C0003000000)","Nogent sur Seine","10"
"moura, andre",1,"H02N","ELECTRIC MACHINES NOT OTHERWISE PROVIDED FOR",NA,NA,"Brie","65"
"mourot, jean",1,"B61C","LOCOMOTIVES; MOTOR RAILCARS (vehicles in general B60; frames or bogies B61F; special railroad equipment for locomotives B61J",NA,NA,"Paris","75"
"moutty, tirouvady",3,"B65D","CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS",NA,NA,"Chenove","21"
"mouvex",2,"F01C","ROTARY-PISTON OR OSCILLATING-PISTON MACHINES OR ENGINES (combustion engines F02; internal-combustion aspects F02B0053000000","F16J","F02B0055000000; machines for liquids F03","Auxerre","89"
"move-up",1,"A61F","FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO",NA,NA,"Romans","26"
"movea",20,"G01C","MEASURING DISTANCES","A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N0033480000)","Grenoble","38"
"moving magnet technologies",27,"H02K","DYNAMO-ELECTRIC MACHINES (measuring instruments G01; dynamo-electric relays H01H0053000000; conversion of dc or ac input power into surge output power H02M0009000000; loudspeakers",NA,NA,"Besancon","25"
"mp technic",1,"C02F","TREATMENT OF WATER",NA,NA,"Aix en Provence","13"
"mp2 cosmetic solutions",1,"A61Q","SPECIFIC USE OF COSMETICS OR SIMILAR TOILET PREPARATIONS",NA,NA,"Paris","75"
"mpo energy",3,"H01L","SEMICONDUCTOR DEVICES; ELECTRIC SOLID STATE DEVICES NOT OTHERWISE PROVIDED FOR (use of semiconductor devices for measuring G01; resistors in general H01C; magnets","B05D","PROCESSES FOR APPLYING LIQUIDS OR OTHER FLUENT MATERIALS TO SURFACES, IN GENERAL (conveying articles or workpieces through baths of liquid B65G, e.g. B65G0049020000)","Averton","53"
"mpowear",1,"H02G","INSTALLATION OF ELECTRIC CABLES OR LINES",NA,NA,"Maisons Alfort","94"
"ms",1,"A21C","MACHINES OR EQUIPMENT FOR MAKING OR PROCESSING DOUGHS; HANDLING BAKED ARTICLES MADE FROM DOUGH",NA,NA,"Coudoux","13"
"ms developpement et participations",1,"C02F","TREATMENT OF WATER",NA,NA,"Veyre Monton","63"
"msa gallet",2,"A42B","HATS; HEAD COVERINGS (headbands",NA,NA,"Chatillon sur Chalaronne","14"
